area_id,Ordinary,Early Voting,Declared Facility,Absent,Postal,iVote,Enrolment / Provisional,Total Votes / Ballot Papers,% of Votes / Ballot Papers,Number of Quotas
northern-tablelands,24464.0,18708.0,382.0,1946.0,1624.0,1912.0,759.0,49795.0,nan,nan
oatley,33081.0,8188.0,150.0,3092.0,1650.0,2558.0,1133.0,49852.0,nan,nan
orange,29971.0,16577.0,229.0,2230.0,1163.0,1343.0,800.0,52313.0,nan,nan
oxley,30827.0,12474.0,324.0,3536.0,1288.0,1455.0,679.0,50583.0,nan,nan
parramatta,33434.0,5095.0,124.0,5032.0,1588.0,3975.0,1763.0,51011.0,nan,nan
penrith,33346.0,9722.0,35.0,3564.0,1384.0,2185.0,961.0,51197.0,nan,nan
pittwater,30742.0,12073.0,136.0,3555.0,1298.0,2159.0,884.0,50847.0,nan,nan
port-macquarie,30857.0,16531.0,290.0,3555.0,1398.0,1547.0,744.0,54922.0,nan,nan
port-stephens,29604.0,15191.0,240.0,2638.0,1523.0,1504.0,953.0,51653.0,nan,nan
prospect,31431.0,7012.0,120.0,6091.0,1126.0,2867.0,1025.0,49672.0,nan,nan
riverstone,34545.0,11115.0,0.0,3472.0,1573.0,3730.0,1384.0,55819.0,nan,nan
rockdale,35010.0,6327.0,117.0,4181.0,906.0,2827.0,1362.0,50730.0,nan,nan
ryde,33469.0,6841.0,232.0,3317.0,2027.0,3203.0,1143.0,50232.0,nan,nan
seven-hills,33069.0,5322.0,55.0,4407.0,2244.0,2815.0,1153.0,49065.0,nan,nan
shellharbour,30648.0,19864.0,94.0,3130.0,1041.0,2295.0,851.0,57923.0,nan,nan
south-coast,28219.0,15327.0,327.0,2899.0,1589.0,1973.0,873.0,51207.0,nan,nan
strathfield,30429.0,6699.0,40.0,4892.0,1254.0,3567.0,1260.0,48141.0,nan,nan
summer-hill,30307.0,10552.0,208.0,4331.0,1017.0,3040.0,1370.0,50825.0,nan,nan
swansea,33318.0,9615.0,62.0,4712.0,1531.0,1500.0,1001.0,51739.0,nan,nan
sydney,26343.0,5637.0,135.0,4947.0,1179.0,5246.0,1214.0,44701.0,nan,nan
tamworth,28452.0,17679.0,269.0,2346.0,1206.0,1183.0,783.0,51918.0,nan,nan
terrigal,31998.0,11965.0,74.0,3556.0,1798.0,2061.0,808.0,52260.0,nan,nan
the-entrance,31271.0,10937.0,130.0,4082.0,1644.0,1720.0,923.0,50707.0,nan,nan
tweed,26399.0,16339.0,341.0,1548.0,1445.0,2037.0,770.0,48879.0,nan,nan
upper-hunter,24837.0,17844.0,173.0,3702.0,1445.0,1684.0,935.0,50620.0,nan,nan
vaucluse,28156.0,9270.0,185.0,3394.0,2130.0,3298.0,747.0,47180.0,nan,nan
wagga-wagga,29786.0,14711.0,312.0,1611.0,1337.0,1988.0,646.0,50391.0,nan,nan
wakehurst,35495.0,4884.0,197.0,4750.0,1786.0,2570.0,957.0,50639.0,nan,nan
wallsend,35161.0,8985.0,216.0,4603.0,1813.0,1804.0,1209.0,53791.0,nan,nan
willoughby,32252.0,5240.0,296.0,4323.0,2269.0,3616.0,1134.0,49130.0,nan,nan
wollondilly,32543.0,12236.0,203.0,3406.0,1758.0,2000.0,1120.0,53266.0,nan,nan
wollongong,34921.0,10849.0,29.0,3674.0,1309.0,2420.0,1076.0,54278.0,nan,nan
wyong,32128.0,11462.0,236.0,3697.0,1000.0,1642.0,989.0,51154.0,nan,nan
